title,brand,url,image_url,resolution,sensor_size,video_resolution,built_in_flash,mic_input,tilt_lcd,weather_resistant,wifi_built_in,memory_card_type,price,fps
Sony Alpha a99,Sony,http://store.sony.com/a99-full-frame-dslr-body-only--zid27-SLTA99V/cat-27-catid-All-Alpha-99-Cameras?_t=pfm%3Dcategory,http://store.sony.com/SNYNA_27/pimg/pSNYNA-SLTA99V_alternate1_t77x64.png,24.3,Full Frame,1080p,No,Yes,Yes,Yes,No,Multiple Types,1999.99,10
Sony Alpha a77II,Sony,http://store.sony.com/-alpha-77-ii-dslr-body-only--zid27-ILCA77M2/cat-27-catid-All-Alpha-DSLR-Cameras?_t=pfm%3Dcategory,http://store.sony.com/SNYNA_27/pimg/pSNYNA-ILCA77M2_main_t77x64.png,24.3,APS-C,1080p,Yes,Yes,Yes,Yes,Yes,Multiple Types,999.99,12
Sigma SD1,Sigma,http://www.sigmaphoto.com/product/sd1-merrill-digital-slr-camera-0,http://www.sigmaphoto.com/sites/default/files/images/rollover/rollovercamera1.png,46,APS-C,None,Yes,No,No,No,No,Compact Flash,1999.00,5
Pentax K-3,Pentax,http://www.pentaxwebstore.com/product/k-3-body-kit,http://images.pentaxwebstore.com/imagesEdp/p196405th2.jpg,23.35,APS-C,1080p,Yes,Yes,No,Yes,No,SD Card,899.95,8.3
Pentax K-3 Prestige,Pentax,http://www.pentaxwebstore.com/product/k-3-prestige-edition-kit,http://images.pentaxwebstore.com/imagesEdp/p205381th.jpg,24.35,APS-C,1080p,Yes,Yes,No,No,No,SD Card,1099.95,8.3
Pentax K-S2,Pentax,http://www.pentaxwebstore.com/product/k-s2-body-kit-black,http://images.pentaxwebstore.com/imagesEdp/p214265b.jpg,20.42,APS-C,1080p,Yes,Yes,Yes,Yes,Yes,SD Card,699.95,5
Pentax K-50,Pentax,http://www.pentaxwebstore.com/product/k-50-body-kit-black,http://images.pentaxwebstore.com/imagesEdp/p192619th.jpg,16.3,APS-C,1080p,Yes,No,No,Yes,No,SD Card,399.99,6
Pentax K-S1,Pentax,http://www.pentaxwebstore.com/product/k-s1-body-kit-black,http://images.pentaxwebstore.com/imagesEdp/p206571b.jpg,20,APS-C,1080p,Yes,No,No,No,No,SD Card,599.95,5.4
Canon 6D,Canon,http://shop.usa.canon.com/shop/en/catalog/cameras/eos-cameras/eos-6d-body,http://shop.usa.canon.com/wcsstore/ExtendedSitesCatalogAssetStore/25933_1_l.jpg,20.2,Full Frame,1080p,No,Yes,No,No,Yes,SD Card,1399.00,4.5
Canon 5D Mark III,Canon,http://shop.usa.canon.com/shop/en/catalog/cameras/eos-cameras/eos-5d-mark-iii-body,http://shop.usa.canon.com/wcsstore/ExtendedSitesCatalogAssetStore/24460_1_xl.jpg,22.3,Full Frame,1080p,No,Yes,No,No,No,Multiple Types,2499.00,6
Canon 5DS,Canon,http://shop.usa.canon.com/shop/en/catalog/cameras/eos-cameras/eos-5ds,http://shop.usa.canon.com/wcsstore/CanonB2BStoreFrontAssetStore/images/36685_1_l.jpg,50.6,Full Frame,1080p,No,Yes,No,No,No,Multiple Types,3699,5
Canon EOS 1DX,Canon,http://shop.usa.canon.com/shop/en/catalog/cameras/eos-cameras/eos-1d-x-body,http://shop.usa.canon.com/wcsstore/ExtendedSitesCatalogAssetStore/23450_1_l.jpg,18.1,Full Frame,1080p,No,Yes,No,Yes,No,Compact Flash,5999.00,14
